"lower";"median";"upper";"time";"item"
0.0014296855;0.483402;1.70659025;0;"extinction_rate"
3.09737450000017e-41;0.01607115;0.7009028;1.01967959572727;"extinction_rate"
7.49084300000032e-61;0.007639545;0.424582875;2.03935919145455;"extinction_rate"
4.08831775000005e-69;0.00480375;0.302473425;3.05903878718182;"extinction_rate"
1.038267e-77;0.00332511;0.214610675;4.07871838290909;"extinction_rate"
2.18391200000001e-86;0.002476845;0.143011125;5.09839797863636;"extinction_rate"
1.13322052500009e-92;0.001965835;0.0986752599999999;6.11807757436364;"extinction_rate"
1.61853025000002e-96;0.001703325;0.0808386674999999;7.13775717009091;"extinction_rate"
1.21858300000007e-101;0.001506855;0.0723976925;8.15743676581818;"extinction_rate"
1.42681475000007e-105;0.00136575;0.0669570675;9.17711636154545;"extinction_rate"
9.13687475000002e-109;0.001269725;0.063092335;10.1967959572727;"extinction_rate"
1.40100850000003e-112;0.001184745;0.0596790725;11.216475553;"extinction_rate"
1.0581886500001e-116;0.001107575;0.057317575;12.2361551487273;"extinction_rate"
1.90599100000002e-120;0.001021865;0.0560130674999999;13.2558347444545;"extinction_rate"
1.02554297500005e-121;0.0009350695;0.05448179;14.2755143401818;"extinction_rate"
6.03725950000082e-124;0.0008871795;0.05291332;15.2951939359091;"extinction_rate"
2.31053825000002e-127;0.000846643;0.0510742075;16.3148735316364;"extinction_rate"
2.00843525000007e-129;0.000796723;0.049884405;17.3345531273636;"extinction_rate"
1.65818775e-132;0.000763617;0.0487989625;18.3542327230909;"extinction_rate"
9.21289325000011e-134;0.000724527;0.047327085;19.3739123188182;"extinction_rate"
1.22983692500057e-136;0.0006880155;0.0465005624999999;20.3935919145455;"extinction_rate"
3.1184987500005e-140;0.000653463;0.0456376674999999;21.4132715102727;"extinction_rate"
1.51328600000022e-142;0.000618452;0.0452487424999999;22.432951106;"extinction_rate"
2.04297675000011e-145;0.0005927855;0.04466683;23.4526307017273;"extinction_rate"
1.08095670000007e-146;0.0005667925;0.0442119375;24.4723102974545;"extinction_rate"
4.94043600000018e-150;0.0005428775;0.0439191975;25.4919898931818;"extinction_rate"
3.37364000000012e-155;0.0005237575;0.04336119;26.5116694889091;"extinction_rate"
6.99823450000034e-157;0.0005062;0.04362986;27.5313490846364;"extinction_rate"
1.30406275e-157;0.000495133;0.0433377325;28.5510286803636;"extinction_rate"
1.31175075000017e-159;0.0004740855;0.0433669425;29.5707082760909;"extinction_rate"
2.84916300000012e-161;0.000475922;0.0433340175;30.5903878718182;"extinction_rate"
1.16499000000003e-163;0.0004676185;0.043175865;31.6100674675455;"extinction_rate"
1.85937800000002e-164;0.0004650015;0.0431906625;32.6297470632727;"extinction_rate"
4.42921775000039e-169;0.0004420105;0.0428563375;33.649426659;"extinction_rate"
1.25939082500032e-170;0.0004369145;0.0430586374999999;34.6691062547273;"extinction_rate"
7.42828975000076e-172;0.000427608;0.0426060225;35.6887858504545;"extinction_rate"
8.06564650000074e-175;0.000413912;0.042519085;36.7084654461818;"extinction_rate"
1.46188775000001e-177;0.0003996645;0.04257015;37.7281450419091;"extinction_rate"
2.37869200000002e-179;0.000391144;0.0423170024999999;38.7478246376364;"extinction_rate"
7.47677375000241e-186;0.0003807235;0.042435455;39.7675042333636;"extinction_rate"
5.40688575000012e-188;0.0003675635;0.0424592249999999;40.7871838290909;"extinction_rate"
3.80332450000073e-189;0.0003623775;0.0425014775;41.8068634248182;"extinction_rate"
6.68445350000038e-191;0.00036253;0.042845625;42.8265430205455;"extinction_rate"
4.93455875000036e-190;0.000362402;0.042779385;43.8462226162727;"extinction_rate"
1.61586600000008e-190;0.0003570195;0.04323403;44.865902212;"extinction_rate"
8.45805475000119e-191;0.000347553;0.0439270249999999;45.8855818077273;"extinction_rate"
1.59595425000009e-191;0.0003469875;0.04427336;46.9052614034545;"extinction_rate"
3.56100600000128e-193;0.0003518455;0.0450774775;47.9249409991818;"extinction_rate"
1.37597025000013e-200;0.0003442445;0.0463908775;48.9446205949091;"extinction_rate"
2.08061800000008e-199;0.0003475185;0.0484165825;49.9643001906364;"extinction_rate"
2.39796500000046e-201;0.0003415915;0.0503104;50.9839797863636;"extinction_rate"
7.37222025000006e-205;0.0003397775;0.05263509;52.0036593820909;"extinction_rate"
8.27368550000003e-211;0.00033811;0.0536838075;53.0233389778182;"extinction_rate"
3.22964075000068e-212;0.0003376655;0.05611254;54.0430185735454;"extinction_rate"
1.10132300000001e-213;0.0003309855;0.0564304399999999;55.0626981692727;"extinction_rate"
4.02793150000181e-216;0.0003280755;0.0577805749999999;56.082377765;"extinction_rate"
3.87610600000077e-216;0.0003213535;0.05904066;57.1020573607273;"extinction_rate"
2.87604767500147e-215;0.000314113;0.0600517175;58.1217369564545;"extinction_rate"
2.19457275000002e-216;0.000307252;0.06038076;59.1414165521818;"extinction_rate"
9.92850375000272e-219;0.000302492;0.0609290075;60.1610961479091;"extinction_rate"
1.4019755000001e-221;0.0002966175;0.06106041;61.1807757436364;"extinction_rate"
4.79077325000082e-226;0.0002848955;0.0609744799999999;62.2004553393636;"extinction_rate"
3.47477425000025e-227;0.0002800235;0.0613008375;63.2201349350909;"extinction_rate"
8.67329925000013e-227;0.000279268;0.0619230424999999;64.2398145308182;"extinction_rate"
1.1989213250002e-230;0.000274592;0.0619343325;65.2594941265454;"extinction_rate"
2.09766225000011e-230;0.000268869;0.0608493374999999;66.2791737222727;"extinction_rate"
1.34364925000003e-232;0.000267977;0.0602000975;67.298853318;"extinction_rate"
